"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=856', 'Duplicar Movimento: 856','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"856";"28/11/2025";"Sexta-Feira";"Movto.Financeiro";"0,00";"87.917,67";"4 - ITAU";"TAR";"";"36 - Despesas Financeiras";"GIROPRE";""
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=402', 'Duplicar Movimento: 402','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"402";"27/11/2025";"Quinta-Feira";"Movto.Financeiro";"0,00";"87.697,48";"1 - UNICREDI";"FGTS";"";"94 - Ações Trabalhistas";"FGTS RESCISÃO RICARDO FERNANDES ACORDO";"2169 - RICARDO DE OLIVEIRA FERNANDES"
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=471', 'Duplicar Movimento: 471','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"471";"02/12/2025";"Terça-Feira";"Movto.Financeiro";"0,00";"86.304,94";"1 - UNICREDI";"TED";"";"88 - Salarios Rescisao";"ENVIO TED D STR - IB/ATM ( Doc.: TED / LUCIANO DE CAMPOS SILVA )";""
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=474', 'Duplicar Movimento: 474','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"474";"02/12/2025";"Terça-Feira";"Movto.Financeiro";"0,00";"86.304,94";"1 - UNICREDI";"TED";"";"88 - Salarios Rescisao";"ENVIO TED D STR - IB/ATM ( Doc.: TED / LUCIANO DE CAMPOS SILVA )";""
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=596', 'Duplicar Movimento: 596','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"596";"09/12/2025";"Terça-Feira";"Pagar";"0,00";"85.487,55";"8 - CAIXA FISICO";"ACORDO";"001";"41 - Compras de Materia Prima";"ENCONTRO DE CONTAS NFS DE COMPRA X VENDA DE IMOBILIZADO";"4528 - ACOS FAVORIT DISTRIBUIDORA LTDA"
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=68', 'Duplicar Movimento: 68','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"68";"04/11/2025";"Terça-Feira";"Movto.Financeiro";"0,00";"80.959,25";"6 - BRADESCO";"1242568";"";"88 - Salarios Rescisao";"TRANSFERENCIA PIX DES: MAIKON ROBERTO CARDOZ 04/11";""
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=444', 'Duplicar Movimento: 444','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"444";"19/11/2025";"Quarta-Feira";"Transferências";"0,00";"77.447,64";"1 - UNICREDI";"4";"";"6 - Transferencia entre Contas";"TRANSFERENCIA DO UNICRED UM VALOR RECEBIDO ANTECIPADO PARA RESERVA";""
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=353', 'Duplicar Movimento: 353','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"353";"19/11/2025";"Quarta-Feira";"Pagar";"0,00";"76.891,48";"1 - UNICREDI";"115";"001";"22 - FGTS";"FGTS - GRF -  FUNDO DE GARANTIA";"200200 - FGTS - GRF -  FUNDO DE GARANTIA"
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=909', 'Duplicar Movimento: 909','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"909";"10/12/2025";"Quarta-Feira";"Movto.Financeiro";"0,00";"71.315,74";"1 - UNICREDI";"FGTS";"";"87 - FGTS Rescisao";"DEBITO PAGAMENTO PIX ( Doc.: PGTO PIX / CAIXA ECONOMICA FEDERAL )";""
"<div class='dropdown'>
		<button class='btn btn-light dropdown-toggle' type='button' id='dropdownMenuButton' data-bs-toggle='dropdown' aria-expanded='false' style='background-color: #f0f0f0; border: none;'>
			<i class='fas fa-cog'></i> <!-- Ícone de engrenagem -->
		</button>
		<ul class='dropdown-menu' aria-labelledby='dropdownMenuButton'>
			<li>
				<a class='dropdown-item' href='#' onclick=""abrirConsulta('../DuplicarMovto_control?licencaIDerp=7&movimentoID=245', 'Duplicar Movimento: 245','50vW','80vH')"">
					Duplicar Movimento
				</a>
			</li>
		</ul>
	</div>";"245";"17/11/2025";"Segunda-Feira";"Movto.Financeiro";"0,00";"70.114,70";"1 - UNICREDI";"PGTO";"";"87 - FGTS Rescisao";"DEBITO PAGAMENTO PIX ( ECONOMICA FEDERAL )";""
